subName,problemName,start,end,duration,ob,subProb,problemNum,obNew,totalObjects,startn,durationn,endn,Event
Dami,Function,2300,23500,21200,1,Dami-Function,NA,1,6,0.006766198426123409,0.06236669853644186,0.06913289696256528,attention
Dami,Function,6700,7950,1250,6,Dami-Function,NA,6,6,0.01971023019783776,0.00367728175332794,0.023387511951165698,attention
Dami,Function,9550,10300,750,6,Dami-Function,NA,6,6,0.02809443259542546,0.002206369051996764,0.030300801647422226,attention
Dami,Function,12250,13150,900,6,Dami-Function,NA,6,6,0.03603736118261381,0.0026476428623961167,0.03868500404500993,attention
Dami,Function,14650,16150,1500,6,Dami-Function,NA,6,6,0.04309774214900346,0.004412738103993528,0.047510480252996985,attention
Dami,Function,19250,19950,700,6,Dami-Function,NA,6,6,0.056630139001250274,0.0020592777818636463,0.05868941678311392,attention
Dami,Function,21350,22050,700,6,Dami-Function,NA,6,6,0.06280797234684121,0.0020592777818636463,0.06486725012870487,attention
Dami,Function,23300,29250,5950,6,Dami-Function,NA,6,6,0.0685445318820328,0.017503861145840995,0.0860483930278738,attention
Dami,Function,29800,30750,950,6,Dami-Function,NA,6,6,0.08766639699933809,0.0027947341325292342,0.09046113113186732,attention
Dami,Function,30550,44200,13650,2,Dami-Function,NA,2,6,0.08987276605133486,0.04015591674634111,0.13002868279767596,attention
Dami,Function,32800,33350,550,6,Dami-Function,NA,6,6,0.09649187320732515,0.0016180039714642936,0.09810987717878944,attention
Dami,Function,35700,36350,650,6,Dami-Function,NA,6,6,0.10502316687504597,0.0019121865117305288,0.1069353533867765,attention
Dami,Function,39000,39650,650,6,Dami-Function,NA,6,6,0.11473119070383173,0.0019121865117305288,0.11664337721556226,attention
Dami,Function,42000,42550,550,6,Dami-Function,NA,6,6,0.12355666691181878,0.0016180039714642936,0.12517467088328307,attention
Dami,Function,44400,44650,250,1,Dami-Function,NA,1,6,0.13061704787820844,7.35456350665588e-4,0.131352504228874,attention
Dami,Function,45950,46650,700,2,Dami-Function,NA,2,6,0.13517687725233507,0.0020592777818636463,0.13723615503419873,attention
Dami,Function,47500,48100,600,1,Dami-Function,NA,1,6,0.13973670662646173,0.0017650952415974113,0.14150180186805913,attention
Dami,Function,51875,58725,6850,3,Dami-Function,NA,3,6,0.15260719276310952,0.02015150400823711,0.17275869677134661,attention
Dami,Function,52375,53325,950,1,Dami-Function,NA,1,6,0.15407810546444067,0.0027947341325292342,0.15687283959696993,attention
Dami,Function,54225,55275,1050,2,Dami-Function,NA,2,6,0.15952048245936604,0.0030889166727954697,0.16260939913216152,attention
Dami,Function,56200,56500,300,2,Dami-Function,NA,2,6,0.1653305876296242,8.825476207987056e-4,0.1662131352504229,attention
Dami,Function,58000,58850,850,1,Dami-Function,NA,1,6,0.17062587335441642,0.0025005515922629992,0.1731264249466794,attention
Dami,Function,59025,63225,4200,6,Dami-Function,NA,6,6,0.17364124439214532,0.012355666691181879,0.1859969110833272,attention
Dami,Function,59075,59975,900,3,Dami-Function,NA,3,6,0.17378833566227844,0.0026476428623961167,0.17643597852467455,attention
Dami,Function,62550,63350,800,3,Dami-Function,NA,3,6,0.18401117893653013,0.0023534603221298817,0.18636463925866,attention
Dami,Function,63275,64175,900,1,Dami-Function,NA,1,6,0.18614400235346032,0.0026476428623961167,0.18879164521585645,attention
Dami,Function,64425,66925,2500,6,Dami-Function,NA,6,6,0.18952710156652203,0.00735456350665588,0.19688166507317792,attention
Dami,Function,67025,69775,2750,1,Dami-Function,NA,1,6,0.19717584761344414,0.008090019857321468,0.2052658674707656,attention
Dami,Function,69475,70475,1000,2,Dami-Function,NA,2,6,0.2043833198499669,0.002941825402662352,0.20732514525262927,attention
Dami,Function,70625,71475,850,1,Dami-Function,NA,1,6,0.20776641906302862,0.0025005515922629992,0.2102669706552916,attention
Dami,Function,71750,72600,850,3,Dami-Function,NA,3,6,0.21107597264102376,0.0025005515922629992,0.21357652423328674,attention
Dami,Function,72650,73600,950,1,Dami-Function,NA,1,6,0.21372361550341987,0.0027947341325292342,0.2165183496359491,attention
Dami,Function,72875,92925,20050,3,Dami-Function,NA,3,6,0.2143855262190189,0.05898359932338016,0.27336912554239906,attention
Dami,Function,73750,74500,750,2,Dami-Function,NA,2,6,0.21695962344634845,0.002206369051996764,0.21916599249834523,attention
Dami,Function,74625,75275,650,1,Dami-Function,NA,1,6,0.21953372067367802,0.0019121865117305288,0.22144590718540855,attention
Dami,Function,75700,76600,900,2,Dami-Function,NA,2,6,0.22269618298154004,0.0026476428623961167,0.22534382584393617,attention
Dami,Function,82500,83000,500,1,Dami-Function,NA,1,6,0.24270059571964403,0.001470912701331176,0.2441715084209752,attention
Dami,Function,84450,85150,700,1,Dami-Function,NA,1,6,0.24843715525483562,0.0020592777818636463,0.2504964330366993,attention
Dami,Function,85550,85700,150,1,Dami-Function,NA,1,6,0.2516731631977642,4.412738103993528e-4,0.25211443700816355,attention
Dami,Function,86975,87475,500,1,Dami-Function,NA,1,6,0.25586526439655805,0.001470912701331176,0.25733617709788925,attention
Dami,Function,90225,90675,450,1,Dami-Function,NA,1,6,0.2654261969552107,0.0013238214311980584,0.26675001838640877,attention
Dami,Function,92150,92900,750,1,Dami-Function,NA,1,6,0.2710892108553357,0.002206369051996764,0.2732955799073325,attention
Dami,Function,93625,93975,350,3,Dami-Function,NA,3,6,0.2754284033242627,0.0010296388909318231,0.27645804221519454,attention
Dami,Function,95975,100075,4100,3,Dami-Function,NA,3,6,0.28234169302051926,0.012061484150915644,0.2944031771714349,attention
Dami,Function,97425,97875,450,1,Dami-Function,NA,1,6,0.28660733985437964,0.0013238214311980584,0.2879311612855777,attention
Dami,Function,100900,102600,1700,3,Dami-Function,NA,3,6,0.2968301831286313,0.0050011031845259984,0.3018312863131573,attention
Dami,Function,104400,108250,3850,3,Dami-Function,NA,3,6,0.3071265720379496,0.011326027800250054,0.3184525998381996,attention
Dami,Function,110050,114250,4200,4,Dami-Function,NA,4,6,0.32374788556299183,0.012355666691181879,0.3361035522541737,attention
Dami,Function,117350,118300,950,1,Dami-Function,NA,1,6,0.34522321100242703,0.0027947341325292342,0.34801794513495626,attention
Dami,Function,118474,119524,1050,2,Dami-Function,NA,2,6,0.3485298227550195,0.0030889166727954697,0.35161873942781496,attention
Dami,Function,119749,124100,4351,6,Dami-Function,NA,6,6,0.352280650143414,0.012799882326983893,0.3650805324703979,attention
Dami,Function,124100,126750,2650,1,Dami-Function,NA,1,6,0.3650805324703979,0.007795837317055233,0.3728763697874531,attention
Dami,Function,127100,130250,3150,2,Dami-Function,NA,2,6,0.3739060086783849,0.00926675001838641,0.38317275869677137,attention
Dami,Function,130399,132099,1700,6,Dami-Function,NA,6,6,0.383611090681768,0.0050011031845259984,0.38861219386629403,attention
Dami,Function,132250,132900,650,1,Dami-Function,NA,1,6,0.389056409502096,0.0019121865117305288,0.39096859601382655,attention
Dami,Function,133150,152300,19150,6,Dami-Function,NA,6,6,0.3917040523644922,0.05633595646098404,0.44804000882547623,attention
Dami,Function,136700,138700,2000,2,Dami-Function,NA,2,6,0.40214753254394353,0.005883650805324704,0.40803118334926824,attention
Dami,Function,143650,149400,5750,3,Dami-Function,NA,3,6,0.42259321909244685,0.016915496065308525,0.4395087151577554,attention
Dami,Function,149575,152375,2800,1,Dami-Function,NA,1,6,0.4400235346032213,0.008237111127454585,0.44826064573067587,attention
Dami,Function,152375,155450,3075,3,Dami-Function,NA,3,6,0.44826064573067587,0.009046113113186732,0.4573067588438626,attention
Dami,Function,154912,157062,2150,2,Dami-Function,NA,2,6,0.45572405677723027,0.006324924615724057,0.4620489813929543,attention
Dami,Function,156987,158237,1250,1,Dami-Function,NA,1,6,0.46182834448775467,0.00367728175332794,0.4655056262410826,attention
Dami,Function,157137,157937,800,3,Dami-Function,NA,3,6,0.462269618298154,0.0023534603221298817,0.4646230786202839,attention
Dami,Function,158412,162362,3950,2,Dami-Function,NA,2,6,0.4660204456865485,0.011620210340516291,0.4776406560270648,attention
Dami,Function,162737,169687,6950,6,Dami-Function,NA,6,6,0.4787438405530632,0.020445686548503348,0.4991895271015665,attention
Dami,Function,169912,170562,650,1,Dami-Function,NA,1,6,0.49985143781716557,0.0019121865117305288,0.5017636243288961,attention
Dami,Function,170687,171487,800,2,Dami-Function,NA,2,6,0.5021313525042289,0.0023534603221298817,0.5044848128263587,attention
Dami,Function,171537,173237,1700,6,Dami-Function,NA,6,6,0.5046319040964918,0.0050011031845259984,0.5096330072810179,attention
Dami,Function,173387,173687,300,3,Dami-Function,NA,3,6,0.5100742810914172,8.825476207987056e-4,0.5109568287122159,attention
Dami,Function,173987,176637,2650,2,Dami-Function,NA,2,6,0.5118393763330147,0.007795837317055233,0.5196352136500698,attention
Dami,Function,176637,179256,2619,4,Dami-Function,NA,4,6,0.5196352136500698,0.0077046407295727,0.5273398543796426,attention
Dami,Function,179256,180706,1450,6,Dami-Function,NA,6,6,0.5273398543796426,0.00426564683386041,0.531605501213503,attention
Dami,Function,181125,195425,14300,5,Dami-Function,NA,5,6,0.5328381260572185,0.042068103258071636,0.5749062293152901,attention
Dami,Function,182531,184531,2000,6,Dami-Function,NA,6,6,0.5369743325733618,0.005883650805324704,0.5428579833786865,attention
Dami,Function,188481,189731,1250,6,Dami-Function,NA,6,6,0.5544781937192028,0.00367728175332794,0.5581554754725307,attention
Dami,Function,195256,196556,1300,6,Dami-Function,NA,6,6,0.5744090608222402,0.0038243730234610576,0.5782334338457013,attention
Dami,Function,196606,202256,5650,1,Dami-Function,NA,1,6,0.5783805251158344,0.01662131352504229,0.5950018386408766,attention
Dami,Function,198581,199731,1150,6,Dami-Function,NA,6,6,0.5841906302860925,0.0033830992130617047,0.5875737294991542,attention
Dami,Function,201506,220356,18850,6,Dami-Function,NA,6,6,0.5927954695888799,0.055453408840185334,0.6482488784290652,attention
Dami,Function,220431,221381,950,2,Dami-Function,NA,2,6,0.6484695153342649,0.0027947341325292342,0.6512642494667942,attention
Dami,Function,222206,223206,1000,1,Dami-Function,NA,1,6,0.6536912554239905,0.002941825402662352,0.656633080826653,attention
Dami,Function,223306,224406,1100,2,Dami-Function,NA,2,6,0.6569272633669192,0.003236007942928587,0.6601632713098478,attention
Dami,Function,224456,234406,9950,6,Dami-Function,NA,6,6,0.6603103625799809,0.0292711627564904,0.6895815253364713,attention
Dami,Function,234481,236331,1850,1,Dami-Function,NA,1,6,0.6898021622416709,0.005442376994925351,0.6952445392365963,attention
Dami,Function,236356,239006,2650,6,Dami-Function,NA,6,6,0.6953180848716629,0.007795837317055233,0.7031139221887182,attention
Dami,Function,239031,240481,1450,2,Dami-Function,NA,2,6,0.7031874678237846,0.00426564683386041,0.707453114657645,attention
Dami,Function,240506,242431,1925,1,Dami-Function,NA,1,6,0.7075266602927116,0.005663013900125027,0.7131896741928366,attention
Dami,Function,242431,244331,1900,6,Dami-Function,NA,6,6,0.7131896741928366,0.0055894682650584684,0.7187791424578951,attention
Dami,Function,244581,247806,3225,2,Dami-Function,NA,2,6,0.7195145988085607,0.009487386923586085,0.7290019857321468,attention
Dami,Function,247806,251506,3700,3,Dami-Function,NA,3,6,0.7290019857321468,0.010884753989850702,0.7398867397219975,attention
Dami,Function,251556,255006,3450,1,Dami-Function,NA,1,6,0.7400338309921306,0.010149297639185114,0.7501831286313158,attention
